data,Registro Ocorrencia,Precipitacao
2021-01-03,56,1711.2002
2021-01-04,176,1696.3999
2021-01-05,299,1292.7992
2021-01-06,432,1428.999
2021-01-07,618,1713.3999
2021-01-08,779,1486.7993
2021-01-09,645,1702.1993
2021-01-10,772,1864.399
2021-01-11,1648,1657.5997
2021-01-12,1643,2272.399
2021-01-13,1790,2120.5994
2021-01-14,1813,2308.7998
2021-01-15,2011,1791.7998
2021-01-16,1291,3357.5986
2021-01-17,1235,2503.9988
2021-01-18,2681,1867.9994
2021-01-19,2197,1938.0
2021-01-20,1922,2217.9993
2021-01-21,2136,1403.2002
2021-01-22,1993,1221.2
2021-01-23,1350,788.8001
2021-01-24,1170,1140.4004
2021-01-25,2482,1608.9996
2021-01-26,2280,1629.5997
2021-01-27,1965,1809.7992
2021-01-28,1991,2176.5999
2021-01-29,1860,1863.3997
2021-01-30,1244,1345.1998
2021-01-31,1168,1621.5996
2021-02-01,2478,1239.8004
2021-02-02,2186,988.4003
2021-02-03,2175,1457.1998
2021-02-04,2086,1764.7997
2021-02-05,1991,2238.3994
2021-02-06,1278,3293.9993
2021-02-07,1212,3132.6006
2021-02-08,2645,2550.5996
2021-02-09,2327,1646.3995
2021-02-10,2180,1568.7992
2021-02-11,2241,1862.5989
2021-02-12,2160,3015.1992
2021-02-13,1369,1885.5994
2021-02-14,1337,2733.9995
2021-02-15,2751,2813.7996
2021-02-16,2424,2320.0007
2021-02-17,2695,2197.6
2021-02-18,2758,2676.5981
2021-02-19,2803,2027.5991
2021-02-20,1795,2269.4001
2021-02-21,1700,1832.1998
2021-02-22,3881,2391.1992
2021-02-23,3621,1988.6002
2021-02-24,3559,1030.4004
2021-02-25,3655,1614.1997
2021-02-26,3400,2965.5996
2021-02-27,2284,2694.2
2021-02-28,2168,2139.1992
2021-03-01,4934,2447.4
2021-03-02,4235,1582.2
2021-03-03,4449,1741.1997
2021-03-04,4181,1973.5995
2021-03-05,4405,2131.5994
2021-03-06,2721,1532.1993
2021-03-07,2620,2405.9993
2021-03-08,5932,2017.9994
2021-03-09,5106,1940.0001
2021-03-10,5115,1333.4
2021-03-11,5094,979.4001
2021-03-12,5149,1021.40045
2021-03-13,3514,982.0004
2021-03-14,3120,1250.8003
2021-03-15,7161,1016.8004
2021-03-16,6056,779.1999
2021-03-17,5767,1910.9995
2021-03-18,5949,1422.0005
2021-03-19,5439,1354.8003
2021-03-20,3612,770.80023
2021-03-21,3419,1450.0
2021-03-22,7146,819.6004
2021-03-23,5394,1012.2003
2021-03-24,6245,921.0005
2021-03-25,5770,627.40027
2021-03-26,5623,1272.7999
2021-03-27,3391,1046.6001
2021-03-28,3179,1193.6
2021-03-29,6670,630.4001
2021-03-30,6155,1270.3997
2021-03-31,5253,984.2006
2021-04-01,4826,975.4005
2021-04-02,2926,1030.8003
2021-04-03,2963,728.2
2021-04-04,2657,596.4
2021-04-05,6244,481.40002
2021-04-06,5089,793.8003
2021-04-07,4720,1077.8002
2021-04-08,4419,496.20007
2021-04-09,4012,387.60004
2021-04-10,2399,597.80005
2021-04-11,2296,910.0002
2021-04-12,5033,453.79993
2021-04-13,4540,613.60016
2021-04-14,4202,663.2004
2021-04-15,4146,1082.6002
2021-04-16,3971,645.80023
2021-04-17,2337,1164.6001
2021-04-18,2126,1290.9999
2021-04-19,4610,1415.6003
2021-04-20,4126,767.2003
2021-04-21,2427,1348.2002
2021-04-22,4202,864.0001
2021-04-23,3738,474.79996
2021-04-24,2152,565.0004
2021-04-25,2010,651.8003
2021-04-26,4571,310.2001
2021-04-27,3743,570.0001
2021-04-28,3594,649.80005
2021-04-29,3373,1127.2001
2021-04-30,3382,584.39996
